FechaContable,FechaTransaccion,HoraTransaccion,Empresa,Paradero,StrParadero,Linea,StrLinea,Bus,TipoValidacion,RutaSae,StrRutaSae,Cenefa
2020-11-15,2020-11-15,05:02:26,105,52444,111A05_TM|111A05_Unidad Mï¿½ca Emaï¿½s Hospital Engativ,1103,SE10,502018,Transbordo,4885,,111A05
2020-11-15,2020-11-15,05:02:30,105,52444,111A05_TM|111A05_Unidad Mï¿½ca Emaï¿½s Hospital Engativ,1103,SE10,502018,Transbordo,4885,,111A05
2020-11-15,2020-11-15,05:02:34,105,27687,242A05 _GM|242A05 - Br Marandï¿½ Cl  67,8,128,504429,Transbordo,3791,,242A05
2020-11-15,2020-11-15,05:02:37,105,27687,242A05 _GM|242A05 - Br Marandï¿½ Cl  67,8,128,504429,Transbordo,3791,,242A05
2020-11-15,2020-11-15,05:02:41,105,27687,242A05 _GM|242A05 - Br Marandï¿½ Cl  67,8,128,504429,Transbordo,3791,,242A05
2020-11-15,2020-11-15,05:02:44,105,27687,242A05 _GM|242A05 - Br Marandï¿½ Cl  67,8,128,504429,Transbordo,3791,,242A05
2020-11-15,2020-11-15,05:02:49,105,47961,111A05_CE,195,C25,507066,Transbordo,4679,,111A05
2020-11-15,2020-11-15,05:02:56,105,33905,099A12_TZ|099A12,154,802,504311,Transbordo,3853,,099A12
2020-11-15,2020-11-15,05:02:59,105,27713,110A05_GM|110A05 - Br. Sabana del Dorado,320,C101,504354,Transbordo,3192,,110A05
2020-11-15,2020-11-15,05:03:01,105,27713,110A05_GM|110A05 - Br. Sabana del Dorado,320,C101,504354,Transbordo,3192,,110A05
2020-11-15,2020-11-15,05:03:03,105,36009,440A05_GM|Br. El Palmar_440A05,118,403A,504257,Transbordo,3128,,440A05
2020-11-15,2020-11-15,05:03:03,105,33905,099A12_TZ|099A12,154,802,504311,Transbordo,3853,,099A12
2020-11-15,2020-11-15,05:03:04,105,47961,111A05_CE,195,C25,507066,Transbordo,4679,,111A05
2020-11-15,2020-11-15,05:03:04,105,27713,110A05_GM|110A05 - Br. Sabana del Dorado,320,C101,504354,Transbordo,3192,,110A05
2020-11-15,2020-11-15,05:03:05,105,53940,365A12_TM|365A12_Villa Alemania II Sector,1132,950,504023,Transbordo,4981,,365A12
2020-11-15,2020-11-15,05:03:08,105,50445,506A12_GM|Parque Marruecos_560A12,320,C101,502097,Transbordo,3193,,506A12
2020-11-15,2020-11-15,05:03:17,105,36009,440A05_GM|Br. El Palmar_440A05,118,403A,504257,Transbordo,3128,,440A05
2020-11-15,2020-11-15,05:03:18,105,50445,506A12_GM|Parque Marruecos_560A12,320,C101,502097,Transbordo,3193,,506A12
2020-11-15,2020-11-15,05:03:20,105,53088,416A05_TM|416A05_J.A.C. Engativï¿½entro Sede Comunal,1062,E25,504184,Transbordo,4886,,416A05
2020-11-15,2020-11-15,05:03:30,105,48317,552A12_GM|El Oasis_552A12,154,802,504311,Transbordo,3853,,552A12
2020-11-15,2020-11-15,05:03:33,105,50445,506A12_GM|Parque Marruecos_560A12,383,806,502115,Transbordo,3122,,506A12
2020-11-15,2020-11-15,05:03:36,105,50445,506A12_GM|Parque Marruecos_560A12,383,806,502115,Transbordo,3122,,506A12
2020-11-15,2020-11-15,05:03:38,105,27681,070A05_GM|070A05 - Br. Sabana del Dorado Cl  63B,320,C101,504354,Transbordo,3192,,070A05
2020-11-15,2020-11-15,05:03:39,105,50445,506A12_GM|Parque Marruecos_560A12,383,806,502115,Transbordo,3122,,506A12
2020-11-15,2020-11-15,05:03:41,105,27681,070A05_GM|070A05 - Br. Sabana del Dorado Cl  63B,320,C101,504354,Transbordo,3192,,070A05
2020-11-15,2020-11-15,05:03:45,105,50445,506A12_GM|Parque Marruecos_560A12,383,806,502115,Transbordo,3122,,506A12
2020-11-15,2020-11-15,05:03:46,105,27688,255A05_GM|Br La Riviera Cl  70B -255A05,8,128,504429,Transbordo,3791,,255A05
2020-11-15,2020-11-15,05:03:50,105,27688,255A05_GM|Br La Riviera Cl  70B -255A05,8,128,504429,Transbordo,3791,,255A05
2020-11-15,2020-11-15,05:03:53,105,45008,180B05_GM|Br. Palo Blanco - 180B05,117,674,507013,Transbordo,4193,,180B05
2020-11-15,2020-11-15,05:03:53,105,27712,068A05_GM|068A05 - Liceo Salomï¿½abio,383,806,502116,Transbordo,3123,,068A05
2020-11-15,2020-11-15,05:03:55,105,27711,111A05_GM|111A05 - U.M. Emaus Hospital Engativ,976,801_GM,504109,Transbordo,4116,,111A05
2020-11-15,2020-11-15,05:04:04,105,37937,167A12_GM|167A12 - IED Ciudad de Villavicencio,385,539,507036,Transbordo,4361,,167A12
2020-11-15,2020-11-15,05:04:07,105,37937,167A12_GM|167A12 - IED Ciudad de Villavicencio,385,539,507036,Transbordo,4361,,167A12
2020-11-15,2020-11-15,05:04:07,105,44678,340A07_GM|340A07,938,614,504221,Viaje Inicial,4066,,340A07
2020-11-15,2020-11-15,05:04:17,105,36010,441A05_GM,118,403A,504257,Transbordo,3128,,441A05
2020-11-15,2020-11-15,05:04:22,105,29469,222A05_GM|LA ESPERANZA_222A05,281,577,502111,Transbordo,4178,,222A05
2020-11-15,2020-11-15,05:04:26,105,50986,066B05_TM|066B05_Br. Los Laureles,320,C101,504354,Transbordo,3192,,066B05
2020-11-15,2020-11-15,05:04:28,105,29469,222A05_GM|LA ESPERANZA_222A05,281,577,502111,Transbordo,4178,,222A05
